Water system,Source type,System scope,Average daily water use (MGD),Treatment capacity (MGD),Key qualification
Cleveland Division of Water / Cleveland Water,Great Lake,Interconnected water system,236.0,540.0,Existing use and treatment capacity are derived from interconnected treatment-plant data.
City of Akron Water Supply,River / reservoir,Water system,30.44,67.0,Reported water-system values.
Mahoning Valley Sanitary District (MVSD),Reservoir,Regional wholesale water system,25.22,60.0,Regional wholesale water-system case; not necessarily the confirmed direct provider for associated facilities.
Erie County Water Division — Perkins District (OH2200603),Purchased Great Lakes water,Distribution PWS,,,Purchased finished-water distribution system; existing-use and treatment-capacity comparisons are not applicable.
Lake County Department of Utilities — East Sub-District / Bacon Road WTP,Great Lake,Treatment plant service area,3.0,9.0,Existing use is approximate; values represent the East Sub-District / Bacon Road service context.
Portage County Water Resources — Shalersville system,Groundwater,Treatment plant service area,,4.0,Shalersville-specific average daily use is not publicly reported; 4 MGD is reported peak treatment capacity.
City of Canton Water Department,Groundwater,Water-system case study,17.59,44.0,Average use is derived from 2025 production; treatment capacity is from an older source.
